,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit
3,002752.SZ,20190427,20190427,20181231,1,1,0.05,0.05,2098304493.63,2098304493.63,,,,,,,,,,,,,,,,-4606419.76,-2581929.66,,2063626305.33,1809654087.16,,,17006348.84,69386712.87,130777421.6,34654082.71,2147652.15,,,,,,,,,,,50377775.42,848369.88,542815.01,,50683330.29,9276768.07,41406562.22,42665085.0,-1258522.78,-145607.95,41260954.27,42519477.05,-1258522.78,91347413.57,245843033.56,,,
0,002753.SZ,20190426,20190426,20190331,1,1,0.0664,0.0618,644560587.24,644560587.24,,,,,,,,,,,,,,,,1950770.3,1950770.3,,620643919.44,552775265.94,,,1423010.08,36936513.0,13294233.69,6208235.04,1242135.51,,,,,,,,,,,26000771.44,33925.41,,,26034696.85,3911928.55,22122768.3,22122768.3,,408830.72,22531599.02,22531599.02,,,,,,
1,002753.SZ,20190426,20190426,20190331,1,1,0.0664,0.0618,644560587.24,644560587.24,,,,,,,,,,,,,,,,1950770.3,1950770.3,,620643919.44,552775265.94,,,1423010.08,36936513.0,13294233.69,6208235.04,1242135.51,,,,,,,,,,,26000771.44,33925.41,,,26034696.85,3911928.55,22122768.3,22122768.3,,408830.72,22531599.02,22531599.02,,31500371.69,,,,
2,002753.SZ,20190426,20190426,20181231,1,1,0.8341,0.776,2587091753.06,2587091753.06,,,,,,,,,,,,,,,,15215819.82,8142310.98,,2276045559.46,2034758958.86,,,9949255.29,148669053.71,40528231.1,11502130.75,2358309.3,,,,,,,,,,,327040313.76,1748140.02,13581803.73,,315206650.05,37323501.64,277883148.41,277883148.41,,2815714.68,280698863.09,280698863.09,,323326624.69,359597587.61,,,
0,002755.SZ,20190430,20190430,20190331,1,1,0.2,0.2,1113535599.62,1113535599.62,,,,,,,,,,,,,,,,464353.07,,,902530123.75,78332408.73,,,16908066.81,686935771.85,57098988.75,-1527505.88,,,,,,,,,,,,212489202.56,9969662.78,636355.02,,221822510.32,34155161.44,187667348.88,188023269.18,-355920.3,-1808778.14,185858570.74,186240297.32,-381726.58,212813395.29,,,,
1,002755.SZ,20190430,20190430,20181231,1,1,0.89,0.89,3931881726.83,3931881726.83,,,,,,,,,,,,,,,,18935686.02,,,3212290406.79,277772575.63,,,62157205.33,2428980341.98,153576923.0,-4554688.07,4089712.93,,,,,,,,,,,744478967.3,12309806.28,1854516.7,,754934256.88,86030546.86,668903710.02,670073623.85,-1169913.83,1802576.99,670706287.01,671729146.7,-1022859.69,721004641.46,804156652.05,,,
0,002756.SZ,20190416,20190416,20190331,1,1,0.28,0.28,1184810360.87,1184810360.87,,,,,,,,,,,,,,,-355308.74,2308851.2,1064225.75,,1118402854.09,1022540110.97,,,12682730.67,15696094.07,22664519.51,6159173.47,307035.54,,,,,,,,,,,118811469.16,46551.72,250000.0,,118608020.88,17465227.54,101142793.34,101493082.8,-350289.46,-183671.36,100959121.98,101309411.44,-350289.46,,,,,
1,002756.SZ,20190416,20190416,20190331,1,1,0.28,0.28,1184810360.87,1184810360.87,,,,,,,,,,,,,,,-355308.74,2308851.2,1064225.75,,1118402854.09,1022540110.97,,,12682730.67,15696094.07,22664519.51,6159173.47,307035.54,,,,,,,,,,,118811469.16,46551.72,250000.0,,118608020.88,17465227.54,101142793.34,101493082.8,-350289.46,-183671.36,100959121.98,101309411.44,-350289.46,123139939.71,,,,
2,002756.SZ,20190416,20190416,20181231,1,1,1.08,1.08,4794349604.01,4794349604.01,,,,,,,,,,,,,,,-235306.12,-14487744.03,6611824.1,,4461401675.36,4077435233.43,,,54893152.98,44619742.84,77213677.95,16627177.48,33536572.35,,,,,,,,,,,449986313.38,3362.3,3621169.74,,446368505.94,60113651.36,386254854.58,387296112.91,-1041258.33,464098.22,386718952.8,387760211.13,-1041258.33,485744873.88,576416636.99,,,
0,002757.SZ,20190427,20190427,20190331,1,1,0.4143,0.4128,326728125.33,326728125.33,,,,,,,,,,,,,,,,13083742.36,,,279239957.2,235260508.13,,,1376339.44,8156719.34,16227239.93,1180219.95,4830436.78,,,,,,,,,,,60866334.85,0.1,41923.7,,60824411.25,6501683.55,54322727.7,54312101.31,10626.39,,54322727.7,54312101.31,10626.39,53793249.22,,,,
